size,bedrooms,age,distance,price
1998.2,1,31,18.67,228460.38
4302.9,1,22,28.34,528832.9
3428.0,3,32,28.36,421778.17
2894.6,6,2,26.08,414765.4
1124.1,2,17,19.27,173491.13
1124.0,5,24,24.13,176551.2
732.3,4,41,20.48,96080.04
3964.7,2,30,17.41,500492.77
2904.5,6,2,4.29,459898.95
3332.3,4,39,24.43,415119.58
582.3,3,45,24.71,84920.23
4379.6,3,23,18.97,557090.33
3829.8,1,49,24.7,471711.67
1349.4,6,31,19.72,201581.21
1227.3,5,46,6.6,217078.98
1233.6,4,21,8.58,198936.84
1717.0,2,22,6.83,238182.81
2599.0,6,1,11.63,393482.9
2227.8,6,26,1.65,352397.85
1664.9,3,41,18.74,249750.94
2947.4,1,1,10.43,400236.06
1058.0,1,25,19.84,143099.17
1668.6,4,16,11.87,278769.14
1965.4,3,39,20.61,264548.81
2324.3,6,32,10.55,332226.87
3640.7,5,8,8.19,530138.56
1298.7,3,42,15.13,170854.72
2556.9,4,47,20.94,319479.29
2869.7,4,38,10.78,374666.19
685.8,3,28,28.13,83257.32
2930.2,4,41,1.66,411531.6
1182.1,3,25,12.83,177738.47
760.2,2,34,29.04,41091.46
4295.5,3,49,16.67,531031.05
4362.5,3,24,12.99,555846.32
3733.6,4,23,17.27,503719.38
1718.5,4,12,17.49,246336.12
890.7,1,6,22.08,166252.87
3236.9,1,35,4.27,439974.9
2260.6,2,44,7.88,293203.34
988.2,1,19,17.63,155983.35
2480.7,3,0,26.08,340442.18
637.6,4,7,17.08,132193.99
4137.3,1,45,7.54,528205.78
1535.1,1,15,20.56,203183.06
3150.1,2,13,22.33,406322.27
1746.8,6,11,7.53,302071.29
2580.3,2,50,11.64,358962.79
2686.8,3,22,16.26,362593.92
1239.4,4,14,15.15,192796.05
4378.3,2,27,11.99,526772.54
3600.5,1,33,9.28,485759.55
4258.0,4,1,3.45,583236.37
4079.3,4,31,2.08,557818.14
2891.6,1,22,28.78,377210.61
4187.5,2,21,25.49,521079.03
854.0,1,50,10.97,111104.95
1283.9,6,24,28.73,215868.09
680.9,4,21,20.46,127329.06
1801.3,5,21,14.73,280252.58
2054.7,5,48,15.04,262356.59
1585.4,3,41,2.96,253296.73
3815.0,1,5,3.21,513618.82
1927.0,1,14,18.27,232861.16
1623.7,3,42,16.83,225675.41
2670.8,3,36,6.78,331788.11
1063.7,3,32,28.41,174958.63
3708.8,4,7,23.55,471003.18
798.2,6,43,3.85,186385.89
4447.5,1,43,27.96,511765.67
3589.0,4,4,29.24,474823.39
1294.9,3,38,29.88,148086.08
522.1,1,3,2.15,130583.73
3761.8,4,5,22.24,493526.22
3327.4,6,44,16.6,453004.69
3416.0,4,31,21.32,441565.97
3585.1,6,29,29.08,446707.03
796.2,3,46,20.8,118305.6
1933.9,6,34,25.19,264334.44
963.5,1,39,26.07,126794.69
3952.4,3,15,25.24,497890.1
2993.2,1,12,13.07,389227.54
1823.6,5,49,7.07,294070.9
754.2,2,41,12.2,149328.55
1743.9,6,29,26.81,261443.51
1800.7,2,18,4.82,259746.9
3418.4,2,16,15.64,437528.08
3050.2,6,18,7.38,429873.85
4048.9,3,27,17.65,507814.43
2388.9,5,25,25.96,318623.85
978.4,1,36,26.47,143566.79
3353.0,4,25,7.48,455181.67
3543.1,1,22,27.28,410661.2
2745.1,4,8,17.96,380296.98
3583.9,1,11,10.83,467894.93
2475.2,6,0,21.39,363473.53
2590.9,5,0,14.71,390838.37
2210.2,4,46,11.65,303184.08
601.7,3,33,21.3,105984.91
931.6,1,31,7.84,127726.85
625.7,1,47,10.24,116234.94
3045.6,4,24,13.32,416879.2
1757.4,3,39,7.98,255521.28
2534.3,3,44,12.45,321273.32
4130.3,6,0,17.36,574673.4
1497.2,6,15,22.36,244889.98
2141.5,6,38,23.13,279938.47
3522.2,6,4,24.77,456222.63
1415.2,6,21,22.45,225953.99
807.9,6,28,20.59,139931.45
1659.0,5,2,7.51,280513.82
1144.9,3,11,12.31,166957.46
4218.8,6,25,14.59,543963.41
3732.5,3,15,2.95,511575.34
3033.6,3,50,16.09,378650.24
3985.8,2,36,13.37,470980.51
3714.7,5,21,24.16,507070.48
1246.3,6,28,29.35,167116.14
4070.2,1,13,16.9,551873.87
2657.4,4,27,10.02,360297.75
3729.8,1,4,1.78,506529.41
4084.4,5,46,27.78,535562.24
1772.0,4,48,27.61,246616.51
940.2,5,29,7.96,203276.05
1411.7,3,45,21.01,162042.86
2208.4,4,4,2.73,323475.02
3772.1,3,11,5.4,515341.96
3942.9,1,15,6.9,524394.21
527.8,1,25,9.19,92382.59
2543.0,4,25,29.88,302770.09
2169.6,4,47,21.06,290010.67
1388.4,6,20,11.83,231949.23
979.5,5,38,22.24,148286.42
1850.5,6,35,27.5,223640.74
4271.6,5,32,28.78,552184.26
1792.8,6,29,2.21,294599.06
2575.2,3,36,12.14,370141.47
3312.1,4,22,3.65,459659.39
1954.5,1,9,10.4,280035.1
4387.1,5,4,5.51,618264.27
4349.8,5,35,19.58,535413.58
1507.1,1,33,11.95,240377.5
2489.0,6,30,7.27,361313.11
1703.5,5,9,8.35,283913.5
1639.4,3,18,11.13,252841.73
647.5,4,31,8.17,116623.24
2938.3,1,0,13.87,417495.7
2510.7,4,4,1.45,382698.33
705.9,5,44,8.75,131980.91
1614.6,5,3,12.63,265084.62
