Gender,Height,Weight
Female,65.52,150.32
Female,66.75,139.73
Female,58.85,111.41
Female,62.39,142.66
Male,65.63,187.62
Female,66.62,159.76
Female,61.23,119.43
Female,61.46,106.34
Female,65.77,148.31
Male,66.65,200.85
Female,62.77,132.76
Male,69.26,182.26
Female,66.3,138.71
Female,62.17,130.38
Female,64.68,151.33
Female,61.71,123.27
Male,69.34,202.98
Female,66.92,145.31
Female,64.34,146.26
Male,68.61,195.11
Female,62.31,141.35
Male,69.83,195.02
Male,70.49,228.26
Female,64.13,153.28
Male,70.71,193.99
Male,70.9,229.63
Male,67.74,157.8
Female,68.21,164.66
Female,64.08,149.32
Female,62.06,127.61
Male,64.66,144.96
Male,65.31,187.6
Female,65.32,129.15
Male,64.85,183.79
Male,69.07,197.83
Male,69.17,203.15
Female,62.95,134.17
Female,64.51,143.93
Female,62.9,128.58
Male,71.93,211.15
Male,70.87,195.28
Male,69.89,205.33
Male,71.48,229.8
Female,62.75,131.02
Male,70.89,213.75
Male,67.2,194.32
Female,67.35,174.0
Female,61.42,138.55
Male,68.83,207.4
Female,61.2,124.87
Female,64.05,145.39
Female,67.33,145.11
Male,68.82,199.43
Female,59.86,109.98
Male,64.73,201.7
Male,67.19,186.48
Female,66.03,139.44
Male,67.61,207.66
Male,63.4,172.41
Female,62.55,128.94
Male,71.7,225.37
Male,72.09,209.91
Female,65.48,160.93
Male,80.56,284.06
Female,65.16,137.93
Female,60.97,131.38
Female,63.91,115.54
Female,64.8,151.37
Male,70.08,204.9
Female,68.04,152.0
Male,69.52,189.74
Male,66.42,187.5
Female,64.2,127.44
Female,60.42,118.31
Male,67.23,189.7
Male,67.13,163.39
Female,63.25,135.53
Male,69.59,215.31
Female,61.6,126.56
Male,67.23,189.63
Female,67.56,149.97
Male,68.78,182.78
Male,70.39,208.83
Male,72.01,229.99
Male,69.97,197.53
Female,65.04,149.85
Female,62.4,127.89
Female,63.89,131.34
Female,66.95,133.05
Male,71.37,210.83
Male,62.63,190.34
Male,71.87,235.69
Female,62.14,126.03
Male,67.54,181.47
Female,65.29,135.85
Male,73.89,223.39
Female,67.22,150.19
Male,67.41,187.65
Male,65.41,158.89
Female,68.42,147.53
Female,64.32,142.06
Male,73.43,202.22
Female,61.14,126.01
Male,72.8,240.47
Female,59.37,110.92
Female,63.31,123.27
Female,64.95,139.47
Female,65.25,145.45
Male,68.26,202.59
Female,64.52,133.5
Female,64.73,135.8
Female,62.98,125.82
Female,60.76,126.76
Female,64.75,119.27
Male,71.75,226.97
Male,68.19,205.38
Male,68.33,183.94
Female,59.57,108.18
Female,62.17,123.78
Male,70.07,206.37
Female,66.99,147.17
Male,73.11,198.49
Female,65.12,151.04
Male,66.22,190.91
Male,69.56,195.93
Female,62.82,128.83
Female,70.36,168.33
Male,71.01,202.73
Female,64.94,152.96
Female,66.63,168.82
Female,65.06,134.99
Female,62.51,134.34
Male,65.26,161.95
Female,63.21,144.12
Female,61.47,113.85
Male,71.79,206.81
Male,71.37,225.82
Male,71.28,227.0
Male,69.33,206.57
Male,68.89,199.83
Male,64.56,173.03
Male,67.04,179.48
Female,59.21,111.62
Male,70.99,208.6
Female,67.27,151.82
Female,63.73,117.91
Female,63.48,129.86
Male,65.4,171.9
Female,70.44,165.85
Male,70.79,215.68
Female,59.79,121.52
Male,65.43,191.62
Female,57.21,114.1
Male,63.72,167.16
Female,66.44,145.01
Male,66.9,185.45
Male,68.39,201.86
Female,60.5,113.61
Male,67.56,200.85
Female,65.91,146.1
Female,62.57,120.25
Female,68.96,159.24
Female,65.95,172.45
Female,69.18,167.85
Female,62.91,115.36
Female,56.58,109.98
Male,71.44,216.12
Female,65.24,140.58
Male,72.92,221.16
Male,68.35,195.61
Male,73.6,231.74
Male,72.36,212.72
Male,63.24,165.55
Female,64.08,141.88
Male,67.06,171.81
Male,70.21,194.45
Male,64.44,189.16
Male,71.32,211.61
Female,64.27,131.41
Female,68.91,175.96
Male,73.57,243.14
Female,67.49,151.56
Male,69.55,215.0
Female,59.44,134.17
Female,65.38,133.54
Male,68.03,179.45
Male,65.99,151.87
Male,67.8,190.98
Female,65.82,148.63
Female,60.06,128.3
Female,63.87,147.85
Female,63.21,133.6
Female,64.04,139.07
Male,65.57,197.01
Male,70.95,220.99
Male,69.36,197.61
Male,69.23,198.19
Male,70.55,191.17
Female,60.85,121.3
Male,69.28,219.02
Male,68.12,182.41
Female,64.13,121.89
Female,63.13,152.43
Female,62.79,123.35
Female,68.34,146.6
Female,63.24,139.76
Male,70.24,235.59
Female,62.75,129.52
Male,70.62,232.47
Female,62.75,132.9
Male,73.07,208.44
Male,72.92,237.58
Female,59.74,107.53
Female,62.54,144.28
Female,64.17,135.04
Male,66.31,199.32
Female,62.0,140.59
Male,70.21,187.51
Female,66.09,135.96
Female,58.17,107.89
Male,69.35,190.65
Female,66.88,159.03
Female,58.71,107.92
Male,63.71,186.97
Female,63.53,132.37
Male,70.94,210.9
Female,57.08,97.96
Male,69.93,190.59
Female,64.54,138.7
Female,61.59,130.77
Male,67.59,203.12
Female,61.2,127.25
Male,66.13,179.26
Female,57.81,107.13
Male,65.83,189.81
Male,74.56,210.04
Male,69.65,186.63
Female,65.99,153.18
Male,69.64,195.82
Male,66.97,206.22
Male,73.57,216.87
Male,64.87,177.35
Female,62.39,128.62
Female,64.08,137.81
Male,72.83,220.92
Male,68.78,221.24
Male,65.45,183.67
Male,68.1,189.43
Male,66.57,190.74
Male,68.54,174.96
Male,73.43,220.03
Female,58.28,117.3
Female,59.35,128.28
Female,67.87,154.89
Male,68.66,212.02
Male,75.28,239.86
Female,66.1,165.84
Female,65.7,137.49
Female,64.37,128.26
Male,68.3,200.36
Female,61.26,120.56
Male,68.34,202.92
Male,69.78,179.83
Male,73.9,225.1
Male,68.13,199.44
Female,65.84,135.14
Female,64.08,148.34
Male,66.48,193.78
Female,68.28,149.29
Male,67.2,183.76
Male,68.98,192.75
Male,72.43,220.77
Female,65.03,149.12
Male,65.22,182.67
Female,65.6,135.27
Male,70.63,202.03
Male,66.35,184.68
Female,67.8,147.43
Male,70.07,201.2
Female,65.71,153.01
Female,61.62,122.11
Female,65.91,138.4
Male,71.56,233.11
Male,68.38,200.73
Male,72.41,209.92
Female,64.42,141.13
Male,66.52,188.05
Male,65.82,182.28
Male,65.77,179.95
Female,63.32,116.23
Female,59.73,120.47
Female,63.89,133.48
Female,69.35,157.35
Male,68.66,190.68
Male,68.67,199.14
Male,67.41,176.4
Female,62.59,115.42
Male,72.18,214.31
Male,71.3,219.78
Male,66.86,199.83
Female,60.84,139.74
Male,70.15,213.79
Male,64.18,193.72
Male,68.25,191.01
Female,63.79,131.91
Female,64.68,139.96
Male,71.93,217.37
Female,64.66,124.22
Female,65.23,169.56
Female,61.18,128.81
Female,66.91,127.52
Female,65.79,147.19
Female,62.84,143.1
Female,68.91,179.78
Male,67.46,205.88
Male,70.51,239.04
Male,66.85,199.26
Male,71.57,220.15
Female,62.49,133.62
Male,71.86,206.62
Male,63.04,176.91
Male,70.57,227.25
Male,71.24,209.73
Female,64.16,138.63
Female,63.31,133.5
Female,62.34,136.2
Male,69.73,208.79
Male,64.73,187.22
Female,63.73,134.7
Male,70.42,212.76
Female,60.06,129.37
Male,72.3,227.44
Female,60.23,126.47
Female,67.06,160.43
Male,70.49,224.49
Male,71.05,197.97
Female,60.41,126.72
Female,63.43,137.49
Female,60.14,115.58
Female,63.81,139.54
Male,69.93,209.67
Male,67.65,204.03
Male,68.77,199.48
Male,75.57,221.89
Male,72.54,214.58
Male,75.18,239.96
Female,67.27,144.12
Female,67.58,158.08
Male,69.29,200.24
Female,62.42,130.6
Male,66.43,202.06
Male,66.06,197.86
Female,65.82,142.22
Male,67.06,193.01
Male,67.52,221.28
Male,69.21,205.69
Male,66.51,177.8
Male,70.94,197.61
Male,72.47,207.34
Male,69.78,201.71
Male,71.91,205.46
Female,64.95,143.76
Male,73.65,236.64
Male,68.81,202.17
Male,71.89,227.67
Male,67.2,196.95
Female,66.72,152.22
Male,65.26,182.78
Male,71.85,215.57
Female,62.22,116.7
Male,66.74,197.3
Female,65.7,142.93
Male,69.68,199.68
Male,70.02,204.38
Male,73.74,236.3
Female,61.97,129.83
Male,78.24,239.65
Male,73.69,209.92
Female,63.14,150.39
Female,64.55,148.81
Male,67.01,195.41
Male,71.35,212.59
Female,64.76,139.25
Male,75.43,225.23
Male,75.94,223.44
Female,62.04,130.18
Female,66.59,157.43
Male,65.81,201.34
Female,64.58,148.0
Female,65.74,138.13
Male,71.14,222.57
Male,69.51,196.82
Female,64.91,131.58
Male,69.77,196.26
Female,66.32,140.08
Male,66.48,185.35
Male,70.87,200.7
Male,62.8,167.56
Female,64.52,149.21
Female,65.79,136.99
Male,67.37,211.25
Male,71.27,216.73
Female,62.38,100.72
Female,59.35,97.18
Female,65.35,139.4
Female,65.66,146.44
Female,62.44,104.39
Male,70.24,201.66
Male,67.84,197.9
Female,61.58,135.14
Female,65.4,159.07
Female,67.01,131.84
Female,60.26,118.42
Male,68.24,197.36
Female,66.49,141.97
Female,64.59,151.11
Female,62.53,121.11
Female,61.19,133.24
Female,64.28,128.29
Male,66.18,191.03
Male,66.28,180.67
Female,67.09,151.12
Male,69.61,198.06
Female,58.76,96.43
Male,71.15,204.34
Male,69.04,188.51
Male,67.45,215.87
Male,68.44,162.25
Female,60.39,140.49
Male,72.49,205.58
Male,63.14,151.32
Male,70.56,207.89
Male,68.94,192.27
Male,68.68,206.77
Male,69.21,202.96
Male,69.73,228.4
Male,65.79,192.85
Male,69.29,195.79
Female,62.51,146.22
Female,64.36,170.87
Male,64.16,177.86
Female,64.92,144.53
Female,64.36,144.86
Female,60.9,118.8
Female,61.77,131.18
Female,65.77,135.55
Female,62.8,141.76
Male,69.04,179.4
Female,64.3,138.4
Female,62.96,122.98
Female,64.7,147.47
Female,61.95,135.17
Male,74.49,231.36
Male,66.54,166.21
Male,74.3,231.44
Female,61.17,120.25
Female,69.17,164.82
Female,67.06,157.34
Male,66.7,184.33
Male,64.4,179.66
Male,61.14,168.23
Male,76.39,246.09
Female,62.76,131.44
Female,67.72,157.92
Male,66.3,190.2
Male,68.52,210.14
Male,68.42,198.13
Male,69.35,204.63
Female,58.95,123.83
Male,65.89,186.99
Male,70.54,204.98
Male,66.89,196.65
Female,62.45,117.44
Male,70.54,205.61
Male,66.52,178.52
Female,63.38,127.82
Female,61.13,130.88
Female,57.84,106.59
Female,69.26,152.89
Female,64.93,150.72
Female,63.84,120.82
Male,67.82,201.82
Male,67.6,194.19
Male,63.86,155.07
Female,60.61,119.45
Male,68.1,194.07
Male,68.65,210.54
Male,70.89,217.07
Male,74.69,237.56
Male,68.43,210.86
Female,62.55,124.62
Female,61.26,144.62
Female,65.38,142.46
Male,64.75,188.12
Male,66.11,208.25
Male,68.21,183.27
Male,65.09,182.77
Male,73.65,225.78
Female,63.5,123.76
Female,62.63,118.28
Female,66.02,150.94
Male,73.36,222.3
Male,67.59,193.97
Female,64.61,162.46
Female,60.43,126.75
Female,65.8,145.29
Female,60.58,108.98
Male,67.42,183.56
Female,64.96,120.45
Female,60.22,125.81
Male,66.88,192.85
Female,66.82,139.03
Male,68.56,193.03
Male,67.31,192.6
Male,65.98,183.67
Female,61.6,141.79
Male,71.06,218.43
Male,77.16,231.14
Female,63.87,145.18
Male,69.2,200.32
Male,68.94,192.64
Female,63.29,123.78
Female,59.76,124.94
Male,66.53,187.86
Male,62.88,175.64
Female,63.56,133.07
Female,61.85,129.75
Male,72.16,223.41
Female,59.26,119.3
Male,68.02,194.72
Female,65.1,157.43
Male,70.08,199.85
Female,69.27,171.69
Male,75.4,225.26
Female,64.47,141.04
Male,73.51,222.28
Male,69.7,187.46
Male,71.47,207.14
Female,64.55,137.6
Male,70.1,199.21
Male,66.46,192.13
Male,64.69,183.12
Male,62.92,186.22
Male,65.76,160.52
Male,65.49,179.53
Female,63.72,132.44
Female,63.33,126.82
Female,68.07,161.15
Female,62.66,101.57
Male,66.03,186.79
Male,68.9,227.77
Male,73.1,222.23
Female,65.72,132.02
Male,68.07,208.47
Female,69.03,143.85
Female,64.7,146.93
Male,66.68,176.13
Male,67.68,183.41
Male,67.62,199.73
Male,68.36,193.28
Male,70.16,211.14
Female,65.6,137.45
Female,63.9,130.61
Female,64.72,130.1
Male,65.93,171.55
Male,68.73,182.47
Female,61.82,123.52
Male,68.94,205.59
Male,69.73,203.56
Female,62.11,126.14
Male,69.89,194.24
Male,70.76,228.78
Female,66.33,145.32
Male,69.97,197.34
Male,68.52,205.97
Female,65.06,139.41
Male,64.18,171.18
Male,68.17,209.32
Male,72.71,212.04
Female,62.57,141.13
Male,69.29,201.78
Male,64.76,181.29
Female,61.5,134.13
Female,65.2,124.22
Female,67.52,138.27
Male,68.57,215.17
Female,62.92,126.7
Female,61.79,127.71
Male,65.02,180.28
Male,71.48,209.78
Male,68.0,179.29
Female,62.82,130.57
Female,68.21,152.37
Female,61.34,129.55
Female,62.45,132.67
Male,69.88,224.04
Male,70.76,215.3
Female,66.43,142.43
Female,63.02,127.19
Female,64.07,149.17
Male,69.94,198.88
Male,67.3,181.1
Male,66.55,185.15
Male,67.55,176.99
Female,63.93,150.05
Female,63.75,141.55
Male,67.66,193.4
Male,69.9,208.86
Female,64.31,141.66
Female,61.83,128.03
Male,70.88,211.98
Male,67.32,202.16
Female,65.96,159.76
Female,62.47,108.15
Female,66.08,153.34
Female,66.0,158.66
Female,66.13,151.49
Female,61.26,130.37
Female,63.99,146.68
Male,66.84,198.23
Female,70.06,167.7
Male,70.42,234.35
Female,62.44,147.49
Male,66.55,189.41
Male,65.96,174.97
Female,63.86,134.59
Male,70.03,222.89
Female,62.09,98.64
Female,60.42,123.07
Female,66.12,146.13
Female,60.5,111.32
Male,68.62,206.06
Male,65.29,190.56
Female,62.98,139.41
Female,64.63,138.12
Male,72.27,215.91
Male,65.55,180.96
Female,63.77,130.14
Male,64.86,196.02
Female,64.99,154.55
Male,71.07,225.25
Male,71.04,237.24
Male,63.12,149.59
Female,68.03,157.45
Male,75.46,252.68
Male,67.27,195.33
Female,69.04,159.89
Female,62.26,122.36
Female,59.64,120.38
Female,65.89,127.45
Male,69.52,183.24
Female,67.98,166.3
Female,62.28,142.01
Female,65.58,144.73
Female,59.99,129.31
Female,60.24,126.21
Female,67.2,144.47
Female,63.89,134.71
Male,72.48,201.94
Female,65.81,133.94
Male,66.96,180.61
Female,62.56,129.66
Female,62.09,135.12
Female,71.37,186.32
Male,68.92,201.67
Male,69.19,201.09
Female,65.99,149.59
Male,66.59,184.59
Male,74.27,241.33
Male,69.2,206.71
Female,61.41,97.76
Female,62.71,132.79
Female,64.5,125.53
Female,63.04,128.68
Male,71.26,224.51
Male,70.84,212.72
Male,70.04,179.38
Male,69.14,208.9
Female,61.0,119.12
Male,70.54,200.02
Female,64.55,129.8
Female,65.07,143.27
Female,71.17,172.36
Male,67.59,204.35
Female,62.66,135.85
Male,69.63,188.24
Male,66.04,186.12
Female,67.15,155.6
Male,72.1,221.02
Male,70.83,200.5
Female,64.52,149.46
Female,68.69,147.19
Female,67.77,148.6
Female,65.14,142.49
Female,65.42,144.08
Male,59.28,152.48
Female,65.83,143.08
Male,69.92,201.09
Male,70.0,197.26
Male,69.75,191.74
Female,63.8,139.45
Female,63.06,132.93
Female,67.1,151.96
Female,64.24,137.36
Female,65.63,136.95
Male,74.06,209.03
Male,65.04,160.43
Male,65.29,165.94
Female,64.86,146.47
Female,69.27,167.45
Female,66.84,167.94
Female,63.6,146.66
Male,66.84,171.24
Male,69.64,192.82
Male,65.36,155.76
Male,70.42,195.52
Male,64.79,162.65
Female,67.33,162.37
Female,59.02,116.52
Male,69.55,204.05
Female,65.6,155.42
Male,69.46,208.67
Female,68.19,154.78
Male,67.84,189.43
Male,71.55,223.58
Male,64.22,160.63
Male,73.21,230.31
Male,70.45,188.61
Male,72.25,218.84
Male,63.89,177.29
Male,67.58,192.07
Male,66.75,198.28
Female,59.95,113.09
Female,62.03,119.32
Female,60.19,103.21
Female,64.66,143.96
Female,62.99,136.61
Male,67.49,195.14
Female,64.21,142.42
Male,69.02,213.81
Female,65.57,145.55
Female,65.98,147.15
Female,65.32,127.39
Female,68.42,163.41
Male,69.25,226.59
Female,68.67,173.75
Female,64.78,135.52
Female,61.27,117.54
Female,64.62,142.86
Female,64.54,135.09
Female,68.46,177.35
Female,63.91,149.86
Female,62.39,145.86
Male,70.03,220.76
Female,66.35,155.06
Female,61.67,140.81
Male,64.71,165.06
Female,66.98,141.65
Male,68.9,213.04
Male,65.89,207.12
Male,69.18,210.93
Female,67.25,148.03
Male,69.14,199.19
Female,69.63,160.11
Female,60.51,136.72
Female,58.19,105.67
Male,71.88,195.97
Female,65.19,129.12
Female,60.86,116.62
Male,67.05,219.71
Female,67.03,137.15
Female,60.89,134.45
Male,68.07,190.72
Female,63.35,145.97
Male,71.13,227.18
Female,67.38,159.02
Female,68.75,150.26
Male,69.97,187.08
Male,70.33,198.36
