,Product,Brand,Description,Sale Price in ₦,Marked Price in ₦,Number of Ratings,Number of Reviews,Star Ratings
0,Blender,BINATONE,Binatone Blender,18715,21278,4112.0,934.0,3.7
1,Laptop,ACER,Acer Laptop,405021,462323,620.0,142.0,3.6
2,Refrigerator,HAIER THERMOCOOL,Haier Thermocool Refrigerator,805784,811262,9295.0,834.0,4.6
3,Electric Kettle,KENWOOD,Kenwood Electric Kettle,33591,36493,7459.0,,3.9
4,Rice Cooker,BINATONE,Binatone Rice Cooker,40464,45926,5674.0,1158.0,3.7
5,Standing Fan,OX,OX Standing Fan,29017,31396,6324.0,416.0,4.0
6,Generator,HONDA,Honda Generator,169650,195561,,2216.0,3.7
7,Printer,CANON,Canon Printer,114707,126313,10399.0,2553.0,4.8
8,Generator,SUMEC,Sumec Generator,868564,888797,850.0,2728.0,3.8
9,Air Conditioner,LG,LG Air Conditioner,365313,424098,1754.0,1576.0,3.9
10,Blender,KENWOOD,Kenwood Blender,35803,39319,5920.0,,4.5
11,Electric Kettle,KENWOOD,Kenwood Electric Kettle,11641,13679,10503.0,720.0,4.3
12,Refrigerator,HISENSE,Hisense Refrigerator,612979,664714,4522.0,3810.0,4.5
13,HeadSmartphones,SONY,Sony Headphones,90420,97733,1016.0,958.0,4.7
14,Standing Fan,OX,OX Standing Fan,64195,70581,1184.0,884.0,4.9
15,Power Bank,ANKER,Anker Power Bank,22592,25934,8279.0,1640.0,4.8
16,Blender,KENWOOD,Kenwood Blender,33642,36726,2387.0,1030.0,
17,HeadSmartphones,JBL,JBL Headphones,94335,105912,,3697.0,4.4
18,Generator,SUMEC,Sumec Generator,259659,295051,8185.0,392.0,4.6
19,Rice Cooker,BINATONE,Binatone Rice Cooker,41723,45033,11249.0,1749.0,4.4
20,Microwave,HISENSE,Hisense Microwave,203871,221208,8769.0,1049.0,5.0
21,Rice Cooker,BINATONE,Binatone Rice Cooker,100358,114166,1976.0,2812.0,
22,Standing Fan,OX,OX Standing Fan,59674,62587,4908.0,1800.0,3.7
23,SmartSmartphone,SAMSUNG,Samsung Smartphone,584486,609902,,3758.0,3.7
24,Blender,KENWOOD,Kenwood Blender,72563,84540,3358.0,646.0,4.1
25,Television,TCL,TCL Television,934300,936449,9913.0,1347.0,4.2
26,Laptop,LENOVO,Lenovo Laptop,860133,924903,1049.0,1006.0,4.8
27,Laptop,HP,HP Laptop,1279052,1299195,8827.0,3156.0,3.7
28,Blender,KENWOOD,Kenwood Blender,85358,90063,4442.0,2181.0,4.8
29,Microwave,PANASONIC,Panasonic Microwave,271166,308509,11402.0,843.0,4.6
30,Microwave,NEXUS,Nexus Microwave,160886,179845,7497.0,515.0,3.9
31,Laptop,LENOVO,Lenovo Laptop,283557,324112,9175.0,962.0,4.4
32,SmartSmartphone,TECNO,Tecno Smartphone,742506,827225,1064.0,957.0,3.6
33,SmartSmartphone,SAMSUNG,Samsung Smartphone,140452,159299,3999.0,1160.0,4.5
34,Refrigerator,HAIER THERMOCOOL,Haier Thermocool Refrigerator,279316,318739,9540.0,1956.0,3.9
35,Speaker,LG,LG Speaker,65142,67914,1688.0,2719.0,4.1
36,Microwave,HISENSE,Hisense Microwave,161537,187427,987.0,2778.0,4.5
