Product,Brand,Description,Sale Price in ₦,Marked Price in ₦,Number of Ratings,Number of Reviews,Star Ratings
Blender,Binatone,Binatone Blender,18715,21278,4112.0,934.0,3.7
Laptop,Acer,Acer Laptop,405021,462323,620.0,142.0,3.6
Refrigerator,Haier Thermocool,Haier Thermocool Refrigerator,805784,811262,9295.0,834.0,4.6
Electric Kettle,Kenwood,Kenwood Electric Kettle,33591,36493,7459.0,,3.9
Rice Cooker,Binatone,Binatone Rice Cooker,40464,45926,5674.0,1158.0,3.7
Standing Fan,OX,OX Standing Fan,29017,31396,6324.0,416.0,4.0
Generator,Honda,Honda Generator,169650,195561,,2216.0,3.7
Printer,Canon,Canon Printer,114707,126313,10399.0,2553.0,4.8
Generator,Sumec,Sumec Generator,868564,888797,850.0,2728.0,3.8
Air Conditioner,LG,LG Air Conditioner,365313,424098,1754.0,1576.0,3.9
Blender,Kenwood,Kenwood Blender,35803,39319,5920.0,,4.5
Electric Kettle,Kenwood,Kenwood Electric Kettle,11641,13679,10503.0,720.0,4.3
Refrigerator,Hisense,Hisense Refrigerator,612979,664714,4522.0,3810.0,4.5
Headphones,Sony,Sony Headphones,90420,97733,1016.0,958.0,4.7
Standing Fan,OX,OX Standing Fan,64195,70581,1184.0,884.0,4.9
Power Bank,Anker,Anker Power Bank,22592,25934,8279.0,1640.0,4.8
Blender,Kenwood,Kenwood Blender,33642,36726,2387.0,1030.0,
Headphones,JBL,JBL Headphones,94335,105912,,3697.0,4.4
Generator,Sumec,Sumec Generator,259659,295051,8185.0,392.0,4.6
Rice Cooker,Binatone,Binatone Rice Cooker,41723,45033,11249.0,1749.0,4.4
Microwave,Hisense,Hisense Microwave,203871,221208,8769.0,1049.0,5.0
Rice Cooker,Binatone,Binatone Rice Cooker,100358,114166,1976.0,2812.0,
Standing Fan,OX,OX Standing Fan,59674,62587,4908.0,1800.0,3.7
Smartphone,Samsung,Samsung Smartphone,584486,609902,,3758.0,3.7
Blender,Kenwood,Kenwood Blender,72563,84540,3358.0,646.0,4.1
Television,TCL,TCL Television,934300,936449,9913.0,1347.0,4.2
Laptop,Lenovo,Lenovo Laptop,860133,924903,1049.0,1006.0,4.8
 Laptop ,HP,HP Laptop,1279052,1299195,8827.0,3156.0,3.7
Blender,Kenwood,Kenwood Blender,85358,90063,4442.0,2181.0,4.8
Microwave,Panasonic,Panasonic Microwave,271166,308509,11402.0,843.0,4.6
Microwave,Nexus,Nexus Microwave,160886,179845,7497.0,515.0,3.9
Laptop,Lenovo,Lenovo Laptop,283557,324112,9175.0,962.0,4.4
Smartphone,Tecno,Tecno Smartphone,742506,827225,1064.0,957.0,3.6
 Smartphone ,Samsung,Samsung Smartphone,140452,159299,3999.0,1160.0,4.5
Refrigerator,Haier Thermocool,Haier Thermocool Refrigerator,279316,318739,9540.0,1956.0,3.9
 Speaker ,LG,LG Speaker,65142,67914,1688.0,2719.0,4.1
Microwave,Hisense,Hisense Microwave,161537,187427,987.0,2778.0,4.5
Blender,Binatone,Binatone Blender,23120,25944,5659.0,3299.0,4.8
Refrigerator,Hisense,Hisense Refrigerator,342302,379448,7450.0,594.0,4.1
Air Conditioner,Panasonic,Panasonic Air Conditioner,382631,441941,1335.0,1835.0,4.7
Rice Cooker,Kenwood,Kenwood Rice Cooker,35626,37833,10784.0,2234.0,4.8
 Laptop ,Dell,Dell Laptop,573510,628779,8056.0,1991.0,3.8
Microwave,LG,LG Microwave,99949,108158,135.0,1619.0,3.9
 Standing Fan ,OX,OX Standing Fan,49923,55388,11512.0,3941.0,
Standing Fan,Century,Century Standing Fan,77252,81788,3211.0,1235.0,3.8
Smartphone,Itel,Itel Smartphone,643543,653532,5238.0,254.0,3.6
Speaker,Oraimo,Oraimo Speaker,28830,32910,1412.0,3507.0,3.8
Power Bank,Oraimo,Oraimo Power Bank,52324,56250,6715.0,511.0,4.9
 Power Bank ,Xiaomi,Xiaomi Power Bank,43070,49940,751.0,2556.0,3.6
Blender,Panasonic,Panasonic Blender,81520,92085,5283.0,3848.0,3.9
Blender,Panasonic,Panasonic Blender,55225,59180,4451.0,,3.7
Blender,Kenwood,Kenwood Blender,70749,77929,1288.0,58.0,
Power Bank,Oraimo,Oraimo Power Bank,14583,16801,8388.0,1106.0,3.7
 Generator ,Firman,Firman Generator,379933,406150,4769.0,666.0,4.2
Headphones,JBL,JBL Headphones,75459,88173,,52.0,4.5
Headphones,JBL,JBL Headphones,91254,94951,2300.0,1103.0,3.7
Laptop,Acer,Acer Laptop,568300,605997,4716.0,2497.0,3.8
Generator,Sumec,Sumec Generator,785762,870892,4425.0,2090.0,4.2
 Printer ,HP,HP Printer,117511,133390,4633.0,200.0,3.5
Standing Fan,Binatone,Binatone Standing Fan,49012,52335,,2279.0,
Headphones,Oraimo,Oraimo Headphones,20509,22663,11421.0,3722.0,3.7
Smartphone,Samsung,Samsung Smartphone,621385,695805,2526.0,1780.0,3.7
Air Conditioner,Midea,Midea Air Conditioner,190377,221832,5962.0,880.0,4.5
Blender,Binatone,Binatone Blender,55967,64357,9273.0,3641.0,4.8
Power Bank,Xiaomi,Xiaomi Power Bank,24849,27514,3000.0,3630.0,4.1
Television,Samsung,Samsung Television,830463,940391,11075.0,3559.0,4.6
Refrigerator,Scanfrost,Scanfrost Refrigerator,298973,346931,1871.0,1586.0,4.8
Rice Cooker,Panasonic,Panasonic Rice Cooker,50520,54154,7641.0,1452.0,4.0
Standing Fan,Binatone,Binatone Standing Fan,45026,47219,10913.0,811.0,
Air Conditioner,LG,LG Air Conditioner,424658,472683,10610.0,2106.0,4.1
Rice Cooker,Kenwood,Kenwood Rice Cooker,65952,68404,1989.0,3612.0,5.0
Television,TCL,TCL Television,393854,398361,1876.0,2463.0,4.2
Electric Kettle,Nexus,Nexus Electric Kettle,33116,37599,8479.0,,4.1
Power Bank,Xiaomi,Xiaomi Power Bank,26512,28693,11712.0,1806.0,3.5
Printer,Epson,Epson Printer,395962,445110,11087.0,827.0,4.0
Laptop,Lenovo,Lenovo Laptop,1502560,1586851,10968.0,,3.7
Printer,Canon,Canon Printer,328609,350878,11026.0,1692.0,4.0
Electric Kettle,Nexus,Nexus Electric Kettle,15145,17341,6988.0,2743.0,4.9
Blender,Panasonic,Panasonic Blender,36345,40810,6753.0,2264.0,4.8
Air Conditioner,Midea,Midea Air Conditioner,370219,400392,9602.0,2504.0,
Speaker,LG,LG Speaker,124907,133909,8475.0,1958.0,4.7
Standing Fan,Century,Century Standing Fan,35543,40241,1489.0,1182.0,4.3
Blender,Panasonic,Panasonic Blender,59168,61933,3948.0,,4.0
Standing Fan,Binatone,Binatone Standing Fan,35213,37313,857.0,1022.0,5.0
Power Bank,Oraimo,Oraimo Power Bank,36451,41846,10418.0,,3.8
Electric Kettle,Nexus,Nexus Electric Kettle,36126,41399,4097.0,624.0,
Smartphone,Tecno,Tecno Smartphone,500115,530798,2981.0,3313.0,
Headphones,Samsung,Samsung Headphones,12440,14582,4182.0,3777.0,4.8
Speaker,Oraimo,Oraimo Speaker,210861,228086,11037.0,2195.0,5.0
Power Bank,Anker,Anker Power Bank,55871,61496,10137.0,3358.0,4.6
Headphones,Samsung,Samsung Headphones,100007,116864,9076.0,1846.0,4.8
Electric Kettle,Nexus,Nexus Electric Kettle,35434,38495,4150.0,3460.0,4.5
Standing Fan,Century,Century Standing Fan,75598,81517,4599.0,1821.0,
Air Conditioner,Hisense,Hisense Air Conditioner,418893,464913,5338.0,3677.0,4.3
Television,Hisense,Hisense Television,335393,362495,11469.0,645.0,4.6
Laptop,Asus,Asus Laptop,1046059,1134797,8990.0,1928.0,4.1
 Refrigerator ,Nexus,Nexus Refrigerator,509840,588396,11495.0,100.0,4.8
