Student_ID,Gender,Courses,Hours_attended,Hours_prepared,Success_exam
111,Female,Commerce,26.0,15.0,Y
108,Female,Commerce,29.0,10.0,Y
58,Female,Commerce,8.0,9.0,N
31,Male,Arts,21.0,15.0,Y
117,Male,Science,19.0,15.0,Y
79,Female,Commerce,28.0,7.0,N
130,Male,Arts,21.0,4.0,N
98,Male,Commerce,17.0,5.0,N
71,Male,Science,17.0,6.0,N
26,Female,Commerce,26.0,8.0,Y
10,Female,Science,18.0,13.0,Y
32,Female,Commerce,16.0,15.0,N
125,Female,Arts,28.0,9.441379310344828,N
49,Female,Arts,22.0,13.0,Y
27,Female,Commerce,13.0,11.0,N
96,Male,Science,16.0,7.0,N
48,Female,Commerce,17.0,11.0,N
92,Female,Commerce,29.0,9.441379310344828,N
118,Female,Arts,13.0,14.0,N
7,Female,Commerce,19.0,5.0,N
60,Male,Commerce,30.0,12.0,Y
95,Female,Commerce,22.0,10.0,Y
145,Male,Science,29.0,10.0,Y
135,Female,Commerce,26.0,14.0,Y
62,Male,Science,11.0,12.0,N
69,Male,Science,28.0,13.0,Y
59,Female,Commerce,14.0,11.0,N
109,Male,Arts,26.0,9.0,Y
99,Male,Arts,30.0,12.0,Y
41,Female,Commerce,30.0,11.0,Y
114,Male,Arts,27.0,15.0,Y
2,Male,Arts,23.0,7.0,N
90,Male,Science,9.0,13.0,N
137,Female,Science,15.0,10.0,N
122,Male,Commerce,12.0,12.0,N
110,Female,Commerce,24.958620689655174,6.0,N
6,Female,Commerce,16.0,10.0,N
73,Male,Arts,9.0,9.0,N
87,Female,Science,8.0,6.0,N
1,Male,Arts,23.0,12.0,Y
113,Male,Science,22.0,3.0,N
56,Female,Science,25.0,15.0,Y
21,Female,Arts,180.0,4.0,N
72,Male,Science,28.0,12.0,Y
28,Male,Arts,24.958620689655174,3.0,N
64,Male,Arts,22.0,12.0,Y
4,Male,Commerce,19.0,3.0,N
13,Male,Arts,17.0,12.0,N
22,Female,Arts,26.0,5.0,N
140,Female,Science,15.0,6.0,N
143,Male,Science,8.0,5.0,N
128,Male,Arts,29.0,7.0,N
14,Male,Science,20.0,12.0,Y
44,Male,Arts,27.0,9.0,Y
12,Male,Science,21.0,6.0,N
101,Male,Commerce,200.0,13.0,N
149,Male,Commerce,30.0,10.0,Y
146,Female,Science,21.0,13.0,Y
9,Male,Science,12.0,6.0,N
